Tahun,NAMOBJ,WADMKK,luas_total_km2,vegetasi_km2,vegetasi_pct,tubuh_air_km2,tubuh_air_pct,lahan_terbangun_km2,lahan_terbangun_pct,lahan_terbuka_km2,lahan_terbuka_pct
2004,Kotagede,Kota Yogyakarta,2.969277587,0.675292774,22.7426623,0.015036077,0.506388388,2.178555118,73.36987044,0.100393617,3.381078871
2004,Kraton,Kota Yogyakarta,1.569387203,0.017718118,1.128983192,0.005315432,0.33869477,1.452037888,92.52260278,0.094315765,6.009719256
2004,Mantrijeron,Kota Yogyakarta,2.599556538,0.338993366,13.04043059,0.00388746,0.149543218,2.175358786,83.68191861,0.081316925,3.128107585
2004,Mergangsan,Kota Yogyakarta,2.367042703,0.158184513,6.682790823,0.008858915,0.374260875,2.142159054,90.49938351,0.057840222,2.443564794
2004,Minggir,Sleman,26.89147495,24.91279533,92.64198182,0.928800808,3.4538857,0.594479642,2.210662089,0.455399166,1.693470392
2004,Mlati,Sleman,28.45928107,22.63404203,79.53132047,0.241457409,0.84843116,4.649658355,16.33793329,0.934123274,3.282315078
2004,Moyudan,Sleman,27.50111396,25.48577374,92.67178697,0.665246803,2.418981297,0.887332281,3.226532141,0.462761133,1.682699594
2004,Ngaglik,Sleman,38.37208369,32.37160675,84.36238963,0.1200442,0.312842535,4.392081825,11.44603421,1.488350914,3.878733629
2004,Ngampilan,Kota Yogyakarta,0.812149662,0.02262729,2.786098495,0,0,0.668755895,82.34392329,0.120766478,14.86997822
2004,Ngemplak,Sleman,36.5789438,33.02646779,90.28819413,0.242294119,0.662386864,2.350202122,6.425013621,0.959979771,2.624405385
2004,Pajangan,Bantul,33.28796194,31.13033273,93.51828984,0.298079951,0.895458699,1.011034018,3.037236162,0.848515242,2.549015298
2004,Pakem,Sleman,46.01997161,41.62892643,90.45839223,0.426218415,0.926159665,2.343670665,5.092725142,1.371644569,2.980541972
2004,Pakualaman,Kota Yogyakarta,0.642731472,0.01594662,2.481070401,0.002657758,0.413509934,0.604598595,94.06705937,0.019528498,3.038360297
2004,Piyungan,Bantul,33.25755314,27.16228738,81.67253697,0.126199791,0.379462044,1.527726986,4.59362413,4.441338979,13.35437686
2004,Pleret,Bantul,24.19801929,20.66629106,85.40488713,0.118096346,0.488041376,1.072946466,4.434025996,2.340685415,9.673045494
2004,Sedayu,Bantul,34.18604421,31.51531663,92.18766709,0.638841268,1.868719481,1.248650635,3.652515708,0.783235678,2.291097716
2004,Sewon,Bantul,27.90038464,22.63887776,81.1418124,0.261484469,0.937207399,4.326472837,15.50685731,0.673549572,2.414122891
2004,Seyegan,Sleman,26.5335286,25.16805889,94.85379525,0.204431144,0.770463464,0.376689137,1.419672227,0.78434943,2.95606906
2004,Sleman,Sleman,31.25154716,28.53734071,91.31496934,0.077978085,0.249517518,1.763478112,5.642850587,0.872750256,2.792662557
2004,Tegalrejo,Kota Yogyakarta,2.970089006,0.611741994,20.59675628,0.037133952,1.250263931,2.196944095,73.96896491,0.124268966,4.184014879
2004,Turi,Sleman,40.46445647,40.16960281,99.27132678,0.019498022,0.048185554,0.204781873,0.506078399,0.057896935,0.143080966
2004,Umbulharjo,Kota Yogyakarta,8.226847278,1.928655486,23.44343368,0.081683537,0.99288992,5.647477815,68.64692663,0.56903044,6.916749768
2004,Wirobrajan,Kota Yogyakarta,1.740886123,0.143823298,8.261499458,0.003196185,0.183595317,1.512660964,86.89028787,0.081205676,4.664617357
