NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Minggir,Sleman,-0.103107783,0.867955889,0.623800109,2014,Rural
Mlati,Sleman,0.014725457,0.861745581,0.552839991,2014,Urban
Moyudan,Sleman,-0.121846513,0.841600755,0.63170448,2014,Rural
Ngaglik,Sleman,0.08853184,0.869477325,0.570699447,2014,Urban
Ngampilan,Kota Yogyakarta,0.067588243,0.704258187,0.295363636,2014,Urban
Ngemplak,Sleman,0.090646889,0.886875085,0.598332829,2014,Urban
Pajangan,Bantul,-0.28836137,0.86057307,0.656153774,2014,Rural
Pakem,Sleman,0.018653272,0.911085874,0.709794531,2014,Rural
Pakualaman,Kota Yogyakarta,0.092666328,0.581073446,0.301321005,2014,Urban
Piyungan,Bantul,0.06985835,0.86963273,0.614215849,2014,Rural
Pleret,Bantul,0.1164187,0.853708866,0.605881169,2014,Rural
Sedayu,Bantul,-0.482275571,0.872866703,0.642120669,2014,Rural
Sewon,Bantul,0.06173681,0.823373748,0.526825361,2014,Urban
Seyegan,Sleman,0.096596834,0.847683719,0.630411651,2014,Rural
Sleman,Sleman,0.019057158,0.924498758,0.608387316,2014,Rural
Tegalrejo,Kota Yogyakarta,0.038173046,0.810077217,0.367059178,2014,Urban
Turi,Sleman,0.114816502,0.912382115,0.777803248,2014,Rural
Umbulharjo,Kota Yogyakarta,0.056056595,0.820001083,0.382161172,2014,Urban
Wirobrajan,Kota Yogyakarta,0.115249922,0.748334481,0.341352823,2014,Urban
Banguntapan,Bantul,0.026200165,0.869513227,0.494962757,2019,Urban
Bantul,Bantul,0.021816481,0.844988094,0.568438071,2019,Rural
Berbah,Sleman,0.034123967,0.864047055,0.569003197,2019,Rural
Cangkringan,Sleman,0.008314437,0.971267748,0.705085103,2019,Rural
Danurejan,Kota Yogyakarta,0.07999188,0.668528042,0.282151468,2019,Urban
Depok,Sleman,0.008119922,0.863462478,0.426949894,2019,Urban
Gamping,Sleman,0.055528114,0.84872391,0.541649225,2019,Urban
Gedongtengen,Kota Yogyakarta,0.034135874,0.699301273,0.286727644,2019,Urban
Godean,Sleman,0.087854813,0.850149286,0.563990466,2019,Urban
Gondokusuman,Kota Yogyakarta,0.010002417,0.744551908,0.321833586,2019,Urban
Gondomanan,Kota Yogyakarta,0.046577657,0.720164468,0.277446653,2019,Urban
Jetis,Bantul,-0.21802543,0.849671835,0.595035446,2019,Rural
Jetis,Kota Yogyakarta,0.05965145,0.811406033,0.297856538,2019,Urban
Kalasan,Sleman,0.046623087,0.886719008,0.553686077,2019,Rural
