NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Ngemplak,Sleman,29.48769789,47.90303191,37.23276633,2014,Urban
Pajangan,Bantul,25.30724061,43.93575964,35.51658343,2014,Rural
Pakem,Sleman,17.68429674,45.39440082,30.84924163,2014,Rural
Pakualaman,Kota Yogyakarta,42.1529547,47.62745464,45.21605678,2014,Urban
Piyungan,Bantul,26.04756753,46.86583271,35.62293638,2014,Rural
Pleret,Bantul,27.16077908,45.37626361,36.55581201,2014,Rural
Sedayu,Bantul,23.40570612,44.83650826,34.27855311,2014,Rural
Sewon,Bantul,29.08953577,50.90380707,38.50899516,2014,Urban
Seyegan,Sleman,28.46906043,44.22319826,35.7269442,2014,Rural
Sleman,Sleman,31.03421004,48.05064045,37.59899649,2014,Rural
Tegalrejo,Kota Yogyakarta,37.51312018,48.8858535,43.62482189,2014,Urban
Turi,Sleman,22.88496106,40.88725195,31.41834476,2014,Rural
Umbulharjo,Kota Yogyakarta,33.8373132,49.33384524,44.59991749,2014,Urban
Wirobrajan,Kota Yogyakarta,37.82762344,47.69596515,44.54055439,2014,Urban
Banguntapan,Bantul,31.50441086,47.22722517,39.09773744,2019,Urban
Bantul,Bantul,30.63810145,44.86906513,36.47427562,2019,Rural
Berbah,Sleman,32.93174951,48.94004155,38.39989262,2019,Rural
Cangkringan,Sleman,20.04756907,40.97601344,30.89920508,2019,Rural
Danurejan,Kota Yogyakarta,39.75033406,44.79184286,42.21392116,2019,Urban
Depok,Sleman,31.40748355,49.66871935,40.37600624,2019,Urban
Gamping,Sleman,29.58525989,43.71129922,36.39262789,2019,Urban
Gedongtengen,Kota Yogyakarta,37.65886835,44.80332745,41.24791157,2019,Urban
Godean,Sleman,28.19978708,44.85818106,35.56882108,2019,Urban
Gondokusuman,Kota Yogyakarta,37.95403832,45.79030775,41.71953697,2019,Urban
Gondomanan,Kota Yogyakarta,39.42234376,47.52834497,42.71572757,2019,Urban
Jetis,Bantul,31.66453333,44.0853951,36.81168472,2019,Rural
Jetis,Kota Yogyakarta,36.93838002,44.74441586,41.35572786,2019,Urban
Kalasan,Sleman,32.0438883,48.16968075,38.3662971,2019,Rural
Kasihan,Bantul,30.13358971,44.62665124,36.33457811,2019,Urban
Kotagede,Kota Yogyakarta,33.2518167,45.50456491,41.83538295,2019,Urban
Kraton,Kota Yogyakarta,40.01596543,47.32692411,42.72325008,2019,Urban
Mantrijeron,Kota Yogyakarta,35.625734,44.89474451,41.23955147,2019,Urban
Mergangsan,Kota Yogyakarta,35.71602711,45.40482096,42.05903641,2019,Urban
Minggir,Sleman,30.45744891,40.68072022,34.32910898,2019,Rural
Mlati,Sleman,30.5836206,45.13552113,36.78309118,2019,Urban
