ndviLandsat,ndviSentinel
0.55791926,0.6054434
0.54217666,0.20766124
0.6676163,0.5784306
0.6878638,0.6700795
0.44558805,0.3774308
0.38036656,0.17904226
0.6061473,0.5995834
0.5122186,0.4977096
0.54820555,0.44724557
0.6220854,0.5722999
0.6517205,0.5668092
0.5420987,0.39447972
0.83728105,0.7867109
0.3424448,0.27330416
0.39473188,0.45112723
0.7413358,0.7233112
0.6127702,0.39177284
0.41807282,0.24460596
0.72354555,0.74928766
0.7278401,0.7637192
0.43123353,0.2941917
0.6291489,0.5246777
0.2895717,0.001664943
0.77524525,0.7365248
0.7745509,0.75698084
0.55634063,0.48253298
0.7818968,0.67795604
0.5083423,0.50187564
0.771318,0.7847031
0.8673975,0.8489308
0.54951745,0.42949662
0.6049856,0.60030335
0.7181312,0.6648863
0.77952635,0.73539114
0.77179307,0.6792568
0.34527335,0.37205297
0.64944124,0.6283329
0.5691714,0.5584257
0.63179404,0.5302325
0.33802882,0.12303153
0.7018213,0.5904209
0.52868205,0.4662503
0.6016293,0.54724276
0.7982803,0.76334566
0.69505155,0.6093492
0.6241505,0.60579556
0.2564608,0.1663571
0.463117,0.36778292
0.61597097,0.5634549
0.7254451,0.57656366
0.41146117,0.22395006
0.32910827,0.3762822
0.5062271,0.6375105
0.39285967,0.09568062
0.5446933,0.39011586
0.45110634,0.53786767
0.3778138,0.38661915
0.75738275,0.8113807
0.7774908,0.7551832
0.620848,0.72740644
0.639639,0.5784036
0.8354886,0.7768855
0.5145268,0.37263379
0.47514746,0.36669722
0.6048689,0.5525215
0.17495814,0.028569188
0.6993132,0.6353326
0.71778834,0.7385672
0.7138154,0.79056424
0.7520203,0.46761134
0.70120466,0.5944761
0.4559335,0.38680908
0.7370122,0.59755456
0.63151133,0.58099943
0.7550706,0.7548538
0.67474973,0.6056016
0.61726826,0.51222
0.75000864,0.724736
0.5672986,0.49197263
0.48211253,0.28204277
0.17473412,0.11357083
0.45042476,0.44072112
0.63787454,0.44941807
0.64077413,0.6578946
0.7669535,0.71981895
0.71770674,0.72954845
0.2054517,0.12146815
0.6747606,0.5936726
0.7528994,0.46191266
0.31892774,0.34739357
0.31534228,0.23570965
0.8266052,0.81918246
0.706038,0.6060135
0.3328805,0.29104772
0.2698425,0.1726315
0.74113387,0.64572865
0.4576605,0.40597868
0.57890916,0.45325837
0.68619496,0.6786149
0.5595409,0.4824952
0.6639485,0.5062138
0.3226633,0.18231583
0.5798698,0.67457724
0.5461991,0.3976421
0.8035732,0.8083682
0.7512546,0.71271586
0.3799949,0.29666823
0.68711674,0.63383526
0.3235698,0.37687466
0.54112667,0.52092034
0.5180625,0.597496
0.6137763,0.5471593
0.7874156,0.78484833
0.49756825,0.35969236
0.27498057,0.17051703
0.72675127,0.66662353
0.39182603,0.30226293
0.53872746,0.42618704
0.6864465,0.68890285
0.7918595,0.719032
0.7200504,0.7581311
0.60148335,0.61069804
0.53063035,0.5422737
0.63111883,0.57546467
0.6473159,0.5792489
0.7032954,0.6694769
0.7358796,0.6349495
0.68124527,0.5754236
0.29458198,0.24643894
0.715822,0.69207203
0.6118904,0.5679197
0.5285549,0.49907848
0.40380865,0.43618423
0.56817317,0.485625
0.5710602,0.5101748
0.42680848,0.47607276
0.69443834,0.61032504
0.4760768,0.4853378
0.23683654,0.14697541
0.61152905,0.49807584
0.7482955,0.69318354
0.28841704,0.15919581
0.19677074,0.11407692
0.7834664,0.7764799
0.72400403,0.69607466
0.3186767,0.19830051
0.8670948,0.86409575
0.83552855,0.7932881
0.65981823,0.5804033
0.728223,0.5173786
0.6950273,0.70060945
0.6913311,0.7121792
0.8441151,0.78296393
0.76668376,0.7753019
0.60193324,0.53978765
0.38926607,0.42187008
0.6585199,0.56286156
0.16321957,0.062121287
0.7504071,0.7093654
0.6630653,0.56118435
0.32235393,0.30714175
0.8479091,0.8518678
0.79954207,0.7873492
0.2888511,0.20002884
0.68671775,0.56945634
0.7923722,0.7490308
0.28763053,0.18856037
0.7013853,0.6933893
0.74467903,0.7570818
0.6548272,0.57018924
0.80403244,0.7201437
0.47162256,0.40231553
0.60236084,0.60882145
0.7566476,0.76295716
0.46020395,0.375118
0.54680645,0.5106342
0.33830392,0.33726013
0.8539188,0.81228125
0.72500634,0.6487771
0.49447736,0.27299023
0.34717056,0.27397966
0.47028533,0.528141
