LST,NDBI,NDMI,NDVI,latitude,longitude,.geo
33.85066304,-0.317972988,0.317972988,-0.137385517,-7.833872579,110.2270854,"{""type"":""Point"",""coordinates"":[110.22708535221636,-7.833872578744636]}"
41.0327712,-0.04506642,0.04506642,0.457177818,-7.794394665,110.4086435,"{""type"":""Point"",""coordinates"":[110.40864347648692,-7.7943946645704125]}"
28.21072245,-0.303610504,0.303610504,0.806545258,-7.589849072,110.4017281,"{""type"":""Point"",""coordinates"":[110.40172808578166,-7.589849071807745]}"
44.70828675,0.167398766,-0.167398766,0.181328714,-7.7622289,110.3807692,"{""type"":""Point"",""coordinates"":[110.3807691775612,-7.762228899687935]}"
37.2086793,-0.202772021,0.202772021,0.701496005,-7.881419829,110.4361032,"{""type"":""Point"",""coordinates"":[110.43610322020328,-7.881419829038449]}"
43.70065317,0.034717891,-0.034717891,0.243728563,-7.821307858,110.3642052,"{""type"":""Point"",""coordinates"":[110.3642052368002,-7.821307857785742]}"
38.03105822,-0.092150241,0.092150241,0.460570306,-7.832944692,110.3274542,"{""type"":""Point"",""coordinates"":[110.32745417757036,-7.83294469249828]}"
41.33846325,-0.108344965,0.108344965,0.57414633,-7.81699523,110.4789034,"{""type"":""Point"",""coordinates"":[110.47890341623086,-7.81699522958638]}"
42.57026614,0.013429153,-0.013429153,0.28254655,-7.782790119,110.3632088,"{""type"":""Point"",""coordinates"":[110.3632087509495,-7.782790118531946]}"
39.79128027,-0.187879697,0.187879697,0.616806865,-7.835296568,110.3461354,"{""type"":""Point"",""coordinates"":[110.34613537535147,-7.835296568497474]}"
34.06516409,-0.375709623,0.375709623,0.80448997,-7.665141952,110.4714717,"{""type"":""Point"",""coordinates"":[110.47147174364419,-7.665141952438307]}"
39.19139076,-0.128809124,0.128809124,0.527808368,-7.823600701,110.4743073,"{""type"":""Point"",""coordinates"":[110.47430727860979,-7.823600701354933]}"
34.95978792,-0.222544685,0.222544685,0.619868815,-7.708618808,110.4120186,"{""type"":""Point"",""coordinates"":[110.4120185687961,-7.708618808398573]}"
36.41728192,-0.241738215,0.241738215,0.693703651,-7.820795108,110.2956312,"{""type"":""Point"",""coordinates"":[110.29563118396601,-7.820795107998356]}"
44.72874222,0.129526392,-0.129526392,0.269706994,-7.8308949,110.3952567,"{""type"":""Point"",""coordinates"":[110.39525674407862,-7.830894899740587]}"
43.32375638,0.043896049,-0.043896049,0.468182087,-7.768604027,110.3388534,"{""type"":""Point"",""coordinates"":[110.33885336166239,-7.768604027199684]}"
38.18424738,-0.023340695,0.023340695,0.434737533,-7.81909194,110.2509144,"{""type"":""Point"",""coordinates"":[110.25091439080279,-7.819091940298437]}"
41.22988527,0.097648226,-0.097648226,0.348932356,-7.868923563,110.4065339,"{""type"":""Point"",""coordinates"":[110.40653388218452,-7.86892356262066]}"
42.88669024,-0.158884302,0.158884302,0.560698688,-7.771365764,110.3867798,"{""type"":""Point"",""coordinates"":[110.38677975085507,-7.771365763763994]}"
