ndmiLandsat,ndmiSentinel
0.34770158,0.23959544
0.10233835,-0.07204689
-0.024719832,-0.031949613
0.09396644,0.02393367
0.16326244,0.19865333
0.13881071,0.0969781
0.24469796,0.15871477
0.19916272,0.17848973
0.07884231,0.0924895
0.27307302,0.2558285
0.30213404,0.17181246
0.0827839,0.10042425
0.12711732,0.12132271
0.17119445,0.06771395
0.081271134,0.02736034
0.29374182,0.20591706
0.058774408,-0.059992764
0.32323688,0.24251866
0.10205152,0.08985997
-0.060709286,-0.18880591
-0.13237602,-0.25072294
0.12789403,0.064751334
0.18519849,0.077504985
0.076776765,-0.029703874
0.22688112,0.19083649
0.053979862,-6.01E-04
0.20524253,0.17732255
0.23641409,0.1496128
0.064443946,0.05850869
0.25149018,0.14619693
0.004126323,-0.021100301
-0.112766825,-0.22154276
0.36296043,0.28094563
0.32185426,0.18446723
0.2912399,0.15390162
0.31525472,0.11836991
0.06611504,0.09998318
0.1980069,-0.02482423
0.1862451,0.10926581
0.26991257,0.26163632
-0.028267503,-0.1484604
0.06333417,-0.11445774
0.12391462,0.080667265
-0.028498398,-0.10705602
0.0484134,-0.03485293
0.15386574,0.1712517
0.20902371,0.13084123
0.049141783,-0.015341623
0.3426541,0.24415256
-0.0707537,-0.16634595
-0.014338409,0.05014863
0.24040546,0.18743463
0.17459476,0.050315917
0.18223085,0.06343544
0.20678936,0.23385799
0.25009796,0.23876575
0.08069088,-0.013924269
0.2540691,0.16900419
-0.19442633,-0.23820117
0.34456822,0.27838483
0.26889786,0.22076538
0.18843791,0.1369626
0.30309653,0.20643249
0.14482953,0.11254473
0.28937447,0.27410352
0.43003854,0.37365973
0.11911215,-0.014394981
0.14957651,0.0874472
0.2506768,0.11087394
0.31316686,0.2379086
0.29991144,0.20347422
-0.041105196,-0.02042054
0.19494618,0.14827095
0.07714098,0.0127421
0.1860071,0.10382884
0.013585873,-0.10750056
0.2654682,0.19679527
0.1964588,0.14135456
0.16704929,0.11622258
0.3142523,0.26326045
0.2676934,0.22768506
0.17581944,0.23658119
-0.09241718,-0.19984278
0.072786324,-0.022977646
0.1546565,0.1152041
0.2640555,0.16835162
-0.01781861,-0.18244375
-0.104073696,-0.059279528
0.032648217,0.06725889
0.024270143,-0.11836836
0.04755659,-0.1166853
-0.032451518,0.003740266
-0.009402721,-0.048254646
0.30770132,0.32364717
0.31342152,0.26754913
0.17596558,0.21084002
0.15341844,0.038725343
0.3401414,0.2663262
-0.002604942,-0.09802398
0.024704346,-0.05782703
0.24232571,0.21086319
-0.22728191,-0.24524826
0.28580445,0.19325715
0.2775749,0.2215018
0.25059614,0.30939528
0.31553158,0.08214727
0.3077912,0.21480565
0.26344794,0.11446891
0.28769723,0.17174673
0.14685163,0.15714362
0.18394305,0.21530053
0.19950536,0.15920441
0.20206043,0.09947712
0.23743913,0.17483425
0.1084042,0.07815063
0.10116265,-0.01666747
-0.13505943,-0.16499697
0.012429903,-0.020235104
0.20836426,-0.006971813
0.21074198,0.20466839
0.34156975,0.25721514
0.2510847,0.2072527
-0.16190125,-0.22146514
0.18525438,0.13746159
0.29904696,0.19233717
-0.03857019,-0.066398256
-0.14998393,-0.24273445
0.36829397,0.28483146
0.27422476,0.10955264
-0.06372391,-0.12882714
-0.11381655,-0.23673993
0.30065137,0.1700489
-0.086117715,-0.09328772
0.13282101,0.015633203
0.22447701,0.19677554
0.23034622,0.15420909
0.21426453,0.15649807
-0.053492483,-0.1625221
0.24794644,0.22825833
0.16102049,0.045976825
0.25590852,0.27325538
0.30888745,0.23892383
-0.07673126,-0.18011941
0.21678166,0.15258016
-0.11953365,-0.12775192
0.07515612,0.044744555
0.057110067,0.094038196
0.17292164,0.09694533
0.29439598,0.25985873
0.13307199,0.13610557
-0.0901925,-0.18575402
0.28718776,0.21633278
-0.006008933,-0.06909763
0.1052252,0.02592177
0.26850644,0.22125441
0.29596326,0.17687167
0.23890434,0.25665942
0.12805821,0.11178587
0.14751486,0.125714
0.16231415,0.13288367
0.23929647,0.18430778
0.17921363,0.20132548
0.33995447,0.22304274
0.27405795,0.149568
-0.15601842,-0.20990469
0.20067532,0.1741504
0.110693015,0.098988965
-0.015469693,-0.014216932
0.050131876,-0.003043633
0.10092336,0.0717157
0.1014696,0.026582366
0.14515874,0.07883178
0.2078172,0.037398063
0.043616943,-0.009462
-0.18898547,-0.27758485
0.08060924,0.057475064
0.2990056,0.18492891
0.07554667,0.005415933
-0.09082821,-0.11228404
0.29141933,0.28591213
0.3153352,0.23614758
-0.10022062,-0.22570255
0.37928775,0.33127308
0.3384868,0.25341222
0.22801486,0.15235025
0.2730364,0.09216489
0.25335208,0.2305921
0.2522994,0.25005537
0.3362734,0.20174024
0.262764,0.2527355
0.25640363,0.15965353
-0.007293185,-0.014799967
0.17803301,0.08040656
-0.007511681,-0.059518192
0.27777874,0.21737438
0.22564389,0.20393032
-0.14189,-0.15547793
0.36736098,0.3349669
0.34526962,0.3258235
0.014093814,-0.0778874
0.25547722,0.09303749
0.34499982,0.2618
-0.19076717,-0.2506392
0.20682554,0.16506651
0.34909675,0.29083923
0.20130028,0.12294948
0.2974247,0.18807277
0.08798263,0.032315165
0.14132349,0.13717629
0.29791838,0.2746048
0.003600407,-0.04869113
0.15331826,0.052572396
-0.064873666,-0.08263708
0.38593268,0.27793592
0.27576536,0.23978938
0.08377303,-0.051309474
-0.07780484,-0.14333887
0.018520165,0.07350491
