NAMOBJ,WADMKK,max,mean,min,Tahun,Zona
Cangkringan,Sleman,0.538997198,0.273298092,-0.453856247,2024,Rural
Danurejan,Kota Yogyakarta,0.274061382,-0.091702324,-0.262520631,2024,Urban
Depok,Sleman,0.501325128,0.03640999,-0.305560652,2024,Urban
Gamping,Sleman,0.475110256,0.117144089,-0.323854817,2024,Urban
Gedongtengen,Kota Yogyakarta,0.282786432,-0.091140551,-0.245333701,2024,Urban
Godean,Sleman,0.446826711,0.146690872,-0.27832193,2024,Urban
Gondokusuman,Kota Yogyakarta,0.364512843,-0.060348799,-0.290748138,2024,Urban
Gondomanan,Kota Yogyakarta,0.299989206,-0.074449488,-0.271555618,2024,Urban
Jetis,Bantul,0.601977547,0.167067324,-0.223161036,2024,Rural
Jetis,Kota Yogyakarta,0.277935602,-0.078353346,-0.272292467,2024,Urban
Kalasan,Sleman,0.492678257,0.163965024,-0.292353034,2024,Rural
Kasihan,Bantul,0.488096263,0.113564546,-0.297534498,2024,Urban
Kotagede,Kota Yogyakarta,0.456886339,-0.045965258,-0.269607289,2024,Urban
Kraton,Kota Yogyakarta,0.293700043,-0.080721558,-0.304374248,2024,Urban
Mantrijeron,Kota Yogyakarta,0.391030681,-0.059129918,-0.237524274,2024,Urban
Mergangsan,Kota Yogyakarta,0.364913993,-0.073805754,-0.235833528,2024,Urban
Minggir,Sleman,0.521078751,0.217516914,-0.267877448,2024,Rural
Mlati,Sleman,0.485283091,0.103473608,-0.294714529,2024,Urban
Moyudan,Sleman,0.516609393,0.205326417,-0.167152471,2024,Rural
Ngaglik,Sleman,0.458308273,0.122552901,-0.281949134,2024,Urban
Ngampilan,Kota Yogyakarta,0.370977928,-0.103010407,-0.259885785,2024,Urban
Ngemplak,Sleman,0.481455396,0.183972854,-0.287054789,2024,Urban
Pajangan,Bantul,0.603860849,0.184519244,-0.294356422,2024,Rural
Pakem,Sleman,0.594983957,0.244923493,-0.636836499,2024,Rural
Pakualaman,Kota Yogyakarta,0.24783093,-0.092828658,-0.242750632,2024,Urban
Piyungan,Bantul,0.481957938,0.181363181,-0.281198333,2024,Rural
Pleret,Bantul,0.508147777,0.165623532,-0.314218163,2024,Rural
Sedayu,Bantul,0.519357226,0.209743683,-0.248120301,2024,Rural
Sewon,Bantul,0.516186131,0.121769999,-0.275939185,2024,Urban
Seyegan,Sleman,0.433771486,0.179514587,-0.268026058,2024,Rural
Sleman,Sleman,0.48066395,0.16344807,-0.2827847,2024,Rural
Tegalrejo,Kota Yogyakarta,0.374247207,-0.048566211,-0.265800719,2024,Urban
Turi,Sleman,0.482566852,0.275001481,-0.178852663,2024,Rural
Umbulharjo,Kota Yogyakarta,0.45528007,-0.03115212,-0.343472242,2024,Urban
Wirobrajan,Kota Yogyakarta,0.370977928,-0.071722831,-0.263374788,2024,Urban
